Date,Region,Product,Category,Units_Sold,Revenue,Discount,Customer_Segment
2024-01-03,North,Laptop Pro,Electronics,12,18000,0.05,Enterprise
2024-01-05,South,Wireless Mouse,Accessories,85,2125,0.10,SMB
2024-01-07,East,Laptop Pro,Electronics,9,13500,0.05,Enterprise
2024-01-09,West,USB Hub,Accessories,60,1800,0.0,Consumer
2024-01-11,North,Monitor 27",Electronics,25,12500,0.08,Enterprise
2024-01-14,South,Keyboard Mech,Accessories,45,4500,0.10,SMB
2024-01-16,East,Laptop Air,Electronics,18,27000,0.05,Enterprise
2024-01-18,West,Wireless Mouse,Accessories,72,1800,0.10,Consumer
2024-01-20,North,SSD 1TB,Storage,100,15000,0.05,SMB
2024-01-23,South,Laptop Pro,Electronics,7,10500,0.05,Consumer
2024-01-25,East,Monitor 27",Electronics,20,10000,0.08,SMB
2024-01-28,West,USB Hub,Accessories,55,1650,0.0,Consumer
2024-02-01,North,Laptop Air,Electronics,22,33000,0.05,Enterprise
2024-02-04,South,SSD 1TB,Storage,90,13500,0.05,SMB
2024-02-06,East,Wireless Mouse,Accessories,100,2500,0.10,Consumer
2024-02-08,West,Keyboard Mech,Accessories,38,3800,0.10,SMB
2024-02-10,North,Monitor 27",Electronics,30,15000,0.08,Enterprise
2024-02-13,South,Laptop Pro,Electronics,14,21000,0.05,Enterprise
2024-02-15,East,USB Hub,Accessories,70,2100,0.0,Consumer
2024-02-17,West,Laptop Air,Electronics,16,24000,0.05,SMB
2024-02-20,North,SSD 1TB,Storage,110,16500,0.05,Enterprise
2024-02-22,South,Wireless Mouse,Accessories,88,2200,0.10,Consumer
2024-02-24,East,Laptop Pro,Electronics,11,16500,0.05,SMB
2024-02-26,West,Monitor 27",Electronics,22,11000,0.08,Consumer
2024-03-01,North,Keyboard Mech,Accessories,52,5200,0.10,Enterprise
2024-03-03,South,Laptop Air,Electronics,25,37500,0.05,Enterprise
2024-03-05,East,SSD 1TB,Storage,95,14250,0.05,SMB
2024-03-07,West,Wireless Mouse,Accessories,110,2750,0.10,Consumer
2024-03-09,North,Laptop Pro,Electronics,16,24000,0.05,Enterprise
2024-03-12,South,USB Hub,Accessories,65,1950,0.0,SMB
2024-03-14,East,Monitor 27",Electronics,35,17500,0.08,Enterprise
2024-03-16,West,Laptop Air,Electronics,20,30000,0.05,Consumer
2024-03-18,North,SSD 1TB,Storage,125,18750,0.05,SMB
2024-03-20,South,Keyboard Mech,Accessories,60,6000,0.10,Enterprise
2024-03-22,East,Wireless Mouse,Accessories,95,2375,0.10,Consumer
2024-03-24,West,Laptop Pro,Electronics,13,19500,0.05,SMB
2024-03-26,North,Monitor 27",Electronics,28,14000,0.08,Enterprise
2024-03-28,South,USB Hub,Accessories,80,2400,0.0,Consumer
2024-04-01,East,Laptop Air,Electronics,30,45000,0.05,Enterprise
2024-04-03,West,SSD 1TB,Storage,115,17250,0.05,SMB
2024-04-05,North,Wireless Mouse,Accessories,120,3000,0.10,Consumer
2024-04-07,South,Laptop Pro,Electronics,18,27000,0.05,Enterprise
2024-04-09,East,Keyboard Mech,Accessories,70,7000,0.10,SMB
2024-04-11,West,Monitor 27",Electronics,32,16000,0.08,Consumer
2024-04-13,North,Laptop Air,Electronics,27,40500,0.05,Enterprise
2024-04-15,South,SSD 1TB,Storage,130,19500,0.05,SMB
2024-04-17,East,USB Hub,Accessories,85,2550,0.0,Consumer
2024-04-19,West,Wireless Mouse,Accessories,105,2625,0.10,Enterprise
2024-04-21,North,Laptop Pro,Electronics,20,30000,0.05,SMB
2024-04-23,South,Monitor 27",Electronics,38,19000,0.08,Enterprise
2024-04-25,East,Keyboard Mech,Accessories,65,6500,0.10,Consumer
2024-04-27,West,Laptop Air,Electronics,24,36000,0.05,SMB
2024-04-29,North,SSD 1TB,Storage,140,21000,0.05,Enterprise
2024-05-01,South,Wireless Mouse,Accessories,115,2875,0.10,Consumer
2024-05-03,East,Laptop Pro,Electronics,22,33000,0.05,Enterprise
2024-05-05,West,USB Hub,Accessories,90,2700,0.0,SMB
2024-05-07,North,Monitor 27",Electronics,40,20000,0.08,Enterprise
2024-05-09,South,Laptop Air,Electronics,32,48000,0.05,SMB
2024-05-11,East,SSD 1TB,Storage,145,21750,0.05,Consumer
2024-05-13,West,Keyboard Mech,Accessories,75,7500,0.10,Enterprise
2024-05-15,North,Wireless Mouse,Accessories,130,3250,0.10,SMB
2024-05-17,South,Laptop Pro,Electronics,25,37500,0.05,Enterprise
2024-05-19,East,Monitor 27",Electronics,42,21000,0.08,Consumer
2024-05-21,West,Laptop Air,Electronics,28,42000,0.05,Enterprise
2024-05-23,North,USB Hub,Accessories,95,2850,0.0,SMB
2024-05-25,South,SSD 1TB,Storage,150,22500,0.05,Consumer
2024-05-27,East,Keyboard Mech,Accessories,80,8000,0.10,Enterprise
2024-05-29,West,Wireless Mouse,Accessories,125,3125,0.10,SMB
2024-06-01,North,Laptop Pro,Electronics,28,42000,0.05,Enterprise
2024-06-03,South,Monitor 27",Electronics,44,22000,0.08,Consumer
2024-06-05,East,Laptop Air,Electronics,35,52500,0.05,SMB
2024-06-07,West,SSD 1TB,Storage,155,23250,0.05,Enterprise
2024-06-09,North,USB Hub,Accessories,100,3000,0.0,Consumer
2024-06-11,South,Keyboard Mech,Accessories,85,8500,0.10,SMB
2024-06-13,East,Wireless Mouse,Accessories,140,3500,0.10,Enterprise
2024-06-15,West,Laptop Pro,Electronics,30,45000,0.05,Consumer
2024-06-17,North,Monitor 27",Electronics,48,24000,0.08,Enterprise
2024-06-19,South,Laptop Air,Electronics,38,57000,0.05,SMB
2024-06-21,East,SSD 1TB,Storage,160,24000,0.05,Consumer
2024-06-23,West,Keyboard Mech,Accessories,90,9000,0.10,Enterprise
2024-06-25,North,Wireless Mouse,Accessories,145,3625,0.10,SMB
2024-06-27,South,USB Hub,Accessories,105,3150,0.0,Consumer
2024-06-29,East,Laptop Pro,Electronics,33,49500,0.05,Enterprise
2024-07-01,West,Monitor 27",Electronics,50,25000,0.08,SMB
2024-07-03,North,Laptop Air,Electronics,40,60000,0.05,Enterprise
2024-07-05,South,SSD 1TB,Storage,165,24750,0.05,Consumer
2024-07-07,East,Keyboard Mech,Accessories,95,9500,0.10,SMB
2024-07-09,West,Wireless Mouse,Accessories,150,3750,0.10,Enterprise
2024-07-11,North,Laptop Pro,Electronics,36,54000,0.05,Consumer
2024-07-13,South,Monitor 27",Electronics,52,26000,0.08,Enterprise
2024-07-15,East,USB Hub,Accessories,110,3300,0.0,SMB
2024-07-17,West,Laptop Air,Electronics,43,64500,0.05,Consumer
2024-07-19,North,SSD 1TB,Storage,175,26250,0.05,Enterprise
2024-07-21,South,Keyboard Mech,Accessories,100,10000,0.10,SMB
2024-07-23,East,Wireless Mouse,Accessories,160,4000,0.10,Consumer
2024-07-25,West,Laptop Pro,Electronics,38,57000,0.05,Enterprise
2024-07-27,North,Monitor 27",Electronics,55,27500,0.08,SMB
2024-07-29,South,Laptop Air,Electronics,46,69000,0.05,Consumer
2024-08-01,East,SSD 1TB,Storage,180,27000,0.05,Enterprise
2024-08-03,West,USB Hub,Accessories,115,3450,0.0,SMB
